  iter           loss   elapsed_time
  1894         1.2508    00:00:01:03
  1904         1.1473    00:00:01:04
  1914         1.3782    00:00:01:04
  1924         1.3676    00:00:01:04
  1934         1.2895    00:00:01:04
  1944         1.2369    00:00:01:04
  1954         1.1070    00:00:01:04
  1955         1.2807    00:00:01:12
  1965         1.1358    00:00:01:12
  1975         1.2938    00:00:01:12
  1985         1.4461    00:00:01:12
  1995         1.3323    00:00:01:12
  2005         1.2052    00:00:01:12
  2015         1.1969    00:00:01:13
  2025         1.1759    00:00:01:13
  2035         1.4418    00:00:01:13
  2045         1.4181    00:00:01:13
  2055         1.3016    00:00:01:13
  2065         1.2144    00:00:01:14
  2075         1.2461    00:00:01:14
  2085         1.2090    00:00:01:14
  2095         1.1021    00:00:01:14
  2105         1.2048    00:00:01:14
  2115         1.0483    00:00:01:14
  2125         1.4090    00:00:01:14
  2135         1.2506    00:00:01:15
  2145         1.3298    00:00:01:15
  2155         1.3878    00:00:01:15
  2165         1.3314    00:00:01:15
  2175         1.1665    00:00:01:15
  2185         1.3899    00:00:01:15
  2195         1.3616    00:00:01:16
  2205         1.2781    00:00:01:16
  2215         1.1524    00:00:01:16
  2225         1.2849    00:00:01:16
  2235         1.3465    00:00:01:16
  2245         1.2313    00:00:01:16
  2255         1.1283    00:00:01:17
  2265         1.2875    00:00:01:17
  2275         1.2856    00:00:01:17
  2285         1.1133    00:00:01:17
  2295         1.1466    00:00:01:17
  2305         1.1705    00:00:01:17
  2315         1.1002    00:00:01:18
  2325         1.2315    00:00:01:18
  2335         1.2241    00:00:01:18
  2345         1.2692    00:00:01:18
  2346         1.0853    00:00:01:25
  2356         1.1522    00:00:01:25
  2366         1.1004    00:00:01:26
  2376         1.2307    00:00:01:26
  2386         1.1243    00:00:01:26
  2396         1.3772    00:00:01:26
  2406         1.2121    00:00:01:26
  2416         1.3158    00:00:01:26
  2426         1.2577    00:00:01:27
  2436         1.3908    00:00:01:27
  2446         1.2410    00:00:01:27
  2456         1.1802    00:00:01:27
  2466         1.2529    00:00:01:27
  2476         1.1571    00:00:01:27
  2486         1.2276    00:00:01:28
  2496         1.0988    00:00:01:28
  2506         1.1676    00:00:01:28
  2516         1.2231    00:00:01:28
  2526         1.1724    00:00:01:28
  2536         1.3363    00:00:01:28
  2546         1.2953    00:00:01:28
  2556         1.2078    00:00:01:29
  2566         1.2926    00:00:01:29
  2576         1.1123    00:00:01:29
  2586         1.3070    00:00:01:29
  2596         1.2309    00:00:01:29
  2606         1.3727    00:00:01:29
  2616         1.2019    00:00:01:30
  2626         0.9878    00:00:01:30
  2636         1.1584    00:00:01:30
  2646         1.3427    00:00:01:30
  2656         1.2205    00:00:01:30
  2666         1.1699    00:00:01:30
  2676         1.2375    00:00:01:31
  2686         1.0764    00:00:01:31
  2696         1.1747    00:00:01:31
  2706         1.2074    00:00:01:31
  2716         1.2252    00:00:01:31
  2726         0.9969    00:00:01:31
  2736         1.2567    00:00:01:32
  2737         1.0164    00:00:01:39
  2747         1.0908    00:00:01:39
  2757         1.0239    00:00:01:39
  2767         1.1486    00:00:01:39
  2777         1.4378    00:00:01:40
  2787         1.1995    00:00:01:40
  2797         1.1884    00:00:01:40
  2807         1.1120    00:00:01:40
  2817         1.1869    00:00:01:40
  2827         1.0840    00:00:01:40
  2837         1.3261    00:00:01:41
  2847         1.2114    00:00:01:41
  2857         1.2397    00:00:01:41
  2867         1.1800    00:00:01:41
  2877         1.2160    00:00:01:41
  2887         1.0877    00:00:01:41
  2897         1.0835    00:00:01:41
  2907         1.1629    00:00:01:42
  2917         1.2751    00:00:01:42
  2927         1.1208    00:00:01:42
  2937         1.2453    00:00:01:42
  2947         1.2296    00:00:01:42
  2957         1.1785    00:00:01:42
  2967         1.2331    00:00:01:43
  2977         1.1955    00:00:01:43
  2987         1.2070    00:00:01:43
  2997         1.0926    00:00:01:43
  3007         1.4126    00:00:01:43
  3017         1.3370    00:00:01:43
  3027         1.2007    00:00:01:44
  3037         1.1738    00:00:01:44
  3047         1.1670    00:00:01:44
  3057         1.1178    00:00:01:44
  3067         1.0076    00:00:01:44
  3077         1.2231    00:00:01:44
  3087         1.1187    00:00:01:45
  3097         1.2704    00:00:01:45
  3107         1.1590    00:00:01:45
  3117         1.1539    00:00:01:45
  3127         1.0427    00:00:01:45
  3128         1.1821    00:00:01:52
  3138         0.9993    00:00:01:53
  3148         1.0885    00:00:01:53
  3158         0.9006    00:00:01:53
  3168         0.9380    00:00:01:53
  3178         1.1494    00:00:01:53
  3188         1.1615    00:00:01:53
  3198         1.2297    00:00:01:54
  3208         1.2456    00:00:01:54
  3218         1.3936    00:00:01:54
  3228         1.0225    00:00:01:54
  3238         1.1524    00:00:01:54
  3248         1.0796    00:00:01:54
  3258         1.2473    00:00:01:55
  3268         1.4808    00:00:01:55
  3278         1.2661    00:00:01:55
  3288         1.2378    00:00:01:55
  3298         1.1027    00:00:01:55
  3308         1.2287    00:00:01:55
  3318         1.3495    00:00:01:56
  3328         1.3315    00:00:01:56
  3338         0.9356    00:00:01:56
  3348         1.2846    00:00:01:56
  3358         1.0808    00:00:01:56
  3368         1.0689    00:00:01:56
  3378         1.1009    00:00:01:57
  3388         1.2913    00:00:01:57
  3398         1.1842    00:00:01:57
  3408         1.2507    00:00:01:57
  3418         1.1374    00:00:01:57
  3428         1.2966    00:00:01:57
  3438         1.2571    00:00:01:58
  3448         1.3268    00:00:01:58
  3458         1.0509    00:00:01:58
  3468         1.1871    00:00:01:58
  3478         1.3926    00:00:01:58
  3488         1.1035    00:00:01:59
  3498         1.0198    00:00:01:59
  3508         1.2997    00:00:01:59
  3518         1.1853    00:00:01:59
  3519         1.0035    00:00:02:07
  3529         1.1051    00:00:02:07
  3539         1.1356    00:00:02:07
  3549         1.0936    00:00:02:07
  3559         1.0002    00:00:02:07
  3569         1.2475    00:00:02:07
  3579         1.2152    00:00:02:08
  3589         1.1632    00:00:02:08
  3599         1.1558    00:00:02:08
  3609         1.3154    00:00:02:08
  3619         1.0812    00:00:02:08
  3629         1.0580    00:00:02:08
  3639         1.1314    00:00:02:09
  3649         1.1452    00:00:02:09
  3659         1.0742    00:00:02:09
  3669         1.0838    00:00:02:09
  3679         1.1431    00:00:02:09
  3689         1.0726    00:00:02:09
  3699         0.8517    00:00:02:10
  3709         1.2341    00:00:02:10
  3719         1.2132    00:00:02:10
  3729         1.1777    00:00:02:10
  3739         0.7976    00:00:02:10
  3749         1.2020    00:00:02:10
  3759         1.1722    00:00:02:11
  3769         1.1114    00:00:02:11
  3779         1.2371    00:00:02:11
  3789         1.1072    00:00:02:11
  3799         1.1959    00:00:02:11
  3809         1.2413    00:00:02:11
  3819         1.0161    00:00:02:12
  3829         1.0086    00:00:02:12
  3839         1.1604    00:00:02:12
  3849         1.1751    00:00:02:12
  3859         1.2874    00:00:02:12
  3869         1.0386    00:00:02:12
  3879         1.2031    00:00:02:13
  3889         1.0740    00:00:02:13
  3899         1.0420    00:00:02:13
  3909         0.9847    00:00:02:13
  3910         0.9818    00:00:02:20
  3920         0.8897    00:00:02:21
  3930         1.0142    00:00:02:21
  3940         1.2691    00:00:02:21
  3950         0.9988    00:00:02:21
  3960         1.1998    00:00:02:21
  3970         0.8392    00:00:02:21
  3980         1.0692    00:00:02:22
  3990         0.9294    00:00:02:22
  4000         1.0171    00:00:02:22
  4010         1.1615    00:00:02:22
  4020         1.0867    00:00:02:22
  4030         1.2378    00:00:02:22
  4040         1.3180    00:00:02:23
  4050         1.1943    00:00:02:23
  4060         0.9746    00:00:02:23
  4070         1.0878    00:00:02:23
  4080         0.9327    00:00:02:23
  4090         1.1399    00:00:02:23
  4100         1.1902    00:00:02:24
  4110         1.0086    00:00:02:24
  4120         1.1677    00:00:02:24
  4130         1.1782    00:00:02:24
  4140         1.1486    00:00:02:24
  4150         1.2115    00:00:02:24
  4160         1.1883    00:00:02:25
  4170         0.9977    00:00:02:25
  4180         1.2036    00:00:02:25
  4190         1.0781    00:00:02:25
  4200         1.0694    00:00:02:25
  4210         1.0707    00:00:02:25
  4220         1.0623    00:00:02:25
  4230         1.0051    00:00:02:26
  4240         1.1702    00:00:02:26
  4250         1.0902    00:00:02:26
  4260         1.2991    00:00:02:26
  4270         1.2918    00:00:02:26
  4280         1.0931    00:00:02:26
  4290         0.9442    00:00:02:27
  4300         1.1883    00:00:02:27
  4301         1.0284    00:00:02:34
  4311         1.0082    00:00:02:34
  4321         1.1194    00:00:02:34
  4331         1.0634    00:00:02:35
  4341         1.0978    00:00:02:35
  4351         0.8888    00:00:02:35
  4361         1.1383    00:00:02:35
  4371         1.1385    00:00:02:35
  4381         1.2653    00:00:02:35
  4391         0.9024    00:00:02:36
  4401         1.0376    00:00:02:36
  4411         1.1392    00:00:02:36
  4421         0.9698    00:00:02:36
  4431         1.1321    00:00:02:36
  4441         1.1301    00:00:02:36
  4451         0.9301    00:00:02:37
  4461         1.4054    00:00:02:37
  4471         0.9541    00:00:02:37
  4481         1.0449    00:00:02:37
  4491         1.1882    00:00:02:37
  4501         1.0701    00:00:02:37
  4511         1.1520    00:00:02:37
  4521         1.2239    00:00:02:38
  4531         1.0926    00:00:02:38
  4541         1.0941    00:00:02:38
  4551         1.0738    00:00:02:38
  4561         1.3307    00:00:02:38
  4571         1.0455    00:00:02:38
  4581         1.1993    00:00:02:39
  4591         1.1110    00:00:02:39
  4601         1.1261    00:00:02:39
  4611         1.2198    00:00:02:39
  4621         1.0729    00:00:02:39
  4631         0.9621    00:00:02:39
  4641         0.9242    00:00:02:40
  4651         1.0728    00:00:02:40
  4661         1.2366    00:00:02:40
  4671         1.0738    00:00:02:40
  4681         1.0731    00:00:02:40
  4691         1.0831    00:00:02:40
  4692         1.1787    00:00:02:48
  4702         1.0528    00:00:02:48
  4712         1.0181    00:00:02:48
  4722         0.9138    00:00:02:48
  4732         1.1019    00:00:02:48
  4742         0.9529    00:00:02:48
  4752         1.1542    00:00:02:49
  4762         1.1321    00:00:02:49
  4772         1.1395    00:00:02:49
  4782         1.1254    00:00:02:49
  4792         1.1927    00:00:02:49
  4802         1.1713    00:00:02:50
  4812         1.0413    00:00:02:50
  4822         1.0548    00:00:02:50
  4832         1.1586    00:00:02:50
  4842         1.0341    00:00:02:50
  4852         1.1337    00:00:02:50
  4862         1.0419    00:00:02:50
  4872         1.0267    00:00:02:51
  4882         1.0027    00:00:02:51
  4892         1.1833    00:00:02:51
  4902         0.9943    00:00:02:51
  4912         1.2365    00:00:02:51
  4922         1.1239    00:00:02:51
  4932         1.0813    00:00:02:52
  4942         1.2582    00:00:02:52
  4952         1.1647    00:00:02:52
  4962         1.0428    00:00:02:52
  4972         0.9651    00:00:02:52
  4982         0.8720    00:00:02:52
  4992         0.9851    00:00:02:53
  5002         1.1679    00:00:02:53
  5012         1.0173    00:00:02:53
  5022         0.9606    00:00:02:53
  5032         1.0835    00:00:02:53
  5042         1.0482    00:00:02:53
  5052         1.0060    00:00:02:54
  5062         1.1203    00:00:02:54
  5072         1.0930    00:00:02:54
  5082         0.8063    00:00:02:54
  5083         1.0096    00:00:03:01
  5093         1.0942    00:00:03:01
  5103         1.1392    00:00:03:02
  5113         0.8909    00:00:03:02
  5123         0.8601    00:00:03:02
  5133         1.1457    00:00:03:02
  5143         1.1270    00:00:03:02
  5153         1.0496    00:00:03:02
  5163         1.0343    00:00:03:03
  5173         0.9616    00:00:03:03
  5183         1.0824    00:00:03:03
  5193         1.1640    00:00:03:03
  5203         1.0000    00:00:03:03
  5213         1.0086    00:00:03:03
  5223         0.9747    00:00:03:03
  5233         0.9576    00:00:03:04
  5243         0.9140    00:00:03:04
  5253         1.2979    00:00:03:04
  5263         0.9654    00:00:03:04
  5273         1.0992    00:00:03:04
  5283         1.0957    00:00:03:04
  5293         1.0771    00:00:03:05
  5303         1.0451    00:00:03:05
  5313         1.2564    00:00:03:05
