  iter           loss   elapsed_time
     0        18.2584    00:00:00:12
    10         2.9544    00:00:00:15
    20         2.3257    00:00:00:19
    30         2.1816    00:00:00:22
    40         2.1223    00:00:00:25
    50         2.0684    00:00:00:29
    60         2.0047    00:00:00:32
    70         2.0354    00:00:00:35
    80         2.0714    00:00:00:39
    90         1.8131    00:00:00:42
   100         1.8318    00:00:00:46
   110         1.6771    00:00:00:49
   120         1.7411    00:00:00:52
   130         1.6359    00:00:00:56
   140         1.5176    00:00:00:59
   150         1.6558    00:00:01:03
   160         1.6328    00:00:01:06
   170         1.4435    00:00:01:10
   180         1.6022    00:00:01:13
   190         1.5528    00:00:01:17
   200         1.1279    00:00:01:20
   210         1.3798    00:00:01:23
   220         1.3361    00:00:01:27
   230         1.2273    00:00:01:30
   240         1.2468    00:00:01:34
   250         1.4527    00:00:01:37
   260         1.1696    00:00:01:41
   270         1.2081    00:00:01:44
   280         1.2051    00:00:01:48
   290         1.0802    00:00:01:51
   300         1.1191    00:00:01:54
   310         0.9876    00:00:01:58
   320         1.0874    00:00:02:01
   330         1.1716    00:00:02:05
   340         1.1283    00:00:02:08
   350         0.8893    00:00:02:12
   360         1.0895    00:00:02:15
   370         1.2747    00:00:02:18
   380         0.9898    00:00:02:22
   390         1.1306    00:00:02:25
   391         0.7579    00:00:02:59
   401         0.8950    00:00:03:02
   411         1.0021    00:00:03:06
   421         0.8636    00:00:03:09
   431         0.8291    00:00:03:13
   441         1.0439    00:00:03:16
   451         0.7412    00:00:03:20
   461         0.8592    00:00:03:23
   471         0.7800    00:00:03:27
   481         0.7607    00:00:03:30
   491         0.8523    00:00:03:34
   501         0.7523    00:00:03:37
   511         0.9494    00:00:03:41
   521         0.6790    00:00:03:44
   531         0.9141    00:00:03:48
   541         0.7683    00:00:03:51
   551         0.6614    00:00:03:55
   561         0.7213    00:00:03:58
   571         0.6762    00:00:04:02
   581         0.6598    00:00:04:05
   591         0.7332    00:00:04:08
   601         0.6940    00:00:04:12
   611         0.7397    00:00:04:16
   621         0.7812    00:00:04:19
   631         0.6249    00:00:04:23
   641         0.7524    00:00:04:26
   651         0.5750    00:00:04:30
   661         0.8171    00:00:04:33
   671         0.7150    00:00:04:37
   681         0.6589    00:00:04:40
   691         0.6346    00:00:04:44
   701         0.4360    00:00:04:47
   711         0.7234    00:00:04:51
   721         0.6355    00:00:04:54
   731         0.6901    00:00:04:58
   741         0.6701    00:00:05:01
   751         0.6846    00:00:05:05
   761         0.6944    00:00:05:08
   771         0.7266    00:00:05:12
   781         0.4656    00:00:05:15
   782         0.5972    00:00:06:03
   792         0.6120    00:00:06:06
   802         0.8172    00:00:06:09
   812         0.4357    00:00:06:13
   822         0.6347    00:00:06:16
   832         0.6750    00:00:06:20
   842         0.6412    00:00:06:23
   852         0.7385    00:00:06:26
   862         0.7350    00:00:06:30
   872         0.6061    00:00:06:33
   882         0.4714    00:00:06:37
   892         0.7232    00:00:06:40
   902         0.5651    00:00:06:43
   912         0.5767    00:00:06:47
   922         0.7428    00:00:06:51
   932         0.6901    00:00:06:54
   942         0.6849    00:00:06:58
   952         0.5761    00:00:07:01
   962         0.5362    00:00:07:05
   972         0.4965    00:00:07:08
   982         0.5642    00:00:07:11
   992         0.5070    00:00:07:15
  1002         0.5287    00:00:07:19
  1012         0.5651    00:00:07:22
  1022         0.5416    00:00:07:26
  1032         0.5325    00:00:07:29
  1042         0.6621    00:00:07:33
  1052         0.5711    00:00:07:36
  1062         0.5171    00:00:07:40
  1072         0.5678    00:00:07:43
  1082         0.6030    00:00:07:47
  1092         0.5133    00:00:07:51
  1102         0.4954    00:00:07:54
  1112         0.4971    00:00:07:58
  1122         0.4972    00:00:08:01
  1132         0.6052    00:00:08:05
  1142         0.4677    00:00:08:08
  1152         0.4983    00:00:08:12
  1162         0.4522    00:00:08:15
  1172         0.4671    00:00:08:18
  1173         0.4844    00:00:09:09
  1183         0.6445    00:00:09:12
  1193         0.5586    00:00:09:16
  1203         0.7036    00:00:09:19
  1213         0.4577    00:00:09:22
  1223         0.4020    00:00:09:26
  1233         0.3562    00:00:09:29
  1243         0.5213    00:00:09:32
  1253         0.5454    00:00:09:36
  1263         0.5268    00:00:09:39
  1273         0.4054    00:00:09:43
  1283         0.6479    00:00:09:46
  1293         0.4126    00:00:09:50
  1303         0.4686    00:00:09:53
  1313         0.6447    00:00:09:57
  1323         0.5435    00:00:10:00
  1333         0.4984    00:00:10:04
  1343         0.4945    00:00:10:07
  1353         0.6773    00:00:10:11
  1363         0.4263    00:00:10:14
  1373         0.4845    00:00:10:18
  1383         0.4950    00:00:10:21
  1393         0.3941    00:00:10:25
  1403         0.6088    00:00:10:28
  1413         0.5407    00:00:10:32
  1423         0.5261    00:00:10:35
  1433         0.3950    00:00:10:39
  1443         0.4674    00:00:10:42
  1453         0.4448    00:00:10:46
  1463         0.3865    00:00:10:49
  1473         0.5239    00:00:10:53
  1483         0.4174    00:00:10:56
  1493         0.5589    00:00:11:00
  1503         0.3681    00:00:11:04
  1513         0.4471    00:00:11:07
  1523         0.5937    00:00:11:11
  1533         0.5596    00:00:11:14
  1543         0.4273    00:00:11:18
  1553         0.3942    00:00:11:21
  1563         0.3959    00:00:11:25
  1564         0.4953    00:00:11:57
  1574         0.4600    00:00:12:01
  1584         0.3513    00:00:12:04
